REF_DATE,GEO,Sex,Age group,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight",Breast milk feeding initiation,"Cannabis frequency of use in the past months, daily or almost daily","Cannabis use, past 12 months",Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Sense of belonging to local community, somewhat strong or very strong"
2017,Alberta,Females,1,14300.0,50600.0,82500.0,112700.0,133500.0,,,,43900.0,82600.0,6800.0,46700.0,156700.0,432500.0,128800.0,,169200.0,493900.0,72300.0,35200.0,359700.0,122700.0,52700.0,325300.0,336800.0,335600.0
2017,Alberta,Females,2,44600.0,39500.0,133000.0,112300.0,61400.0,,,7900.0,50900.0,58000.0,15400.0,22300.0,159600.0,391100.0,79600.0,40800.0,132600.0,414500.0,54200.0,34800.0,288700.0,101900.0,26700.0,307100.0,275400.0,286400.0
2017,Alberta,Females,3,127600.0,24800.0,112400.0,112000.0,,,,16100.0,42000.0,49400.0,45300.0,,125800.0,355800.0,35100.0,79500.0,183000.0,344900.0,54300.0,51500.0,223500.0,78700.0,26200.0,265200.0,230400.0,258600.0
2017,Alberta,Females,4,147900.0,17900.0,66800.0,91600.0,,,,20200.0,22700.0,28900.0,40000.0,,87700.0,256000.0,13500.0,125900.0,153900.0,219200.0,25700.0,49600.0,137600.0,36400.0,9200.0,185800.0,96700.0,187300.0
2017,Alberta,Males,1,11700.0,51800.0,124000.0,172400.0,,,,,69400.0,138500.0,,,124800.0,350900.0,187400.0,14000.0,129300.0,505900.0,41300.0,32400.0,381900.0,95700.0,43600.0,370100.0,395400.0,328800.0
2017,Alberta,Males,2,58700.0,29100.0,170900.0,187200.0,,,,,75000.0,103700.0,15000.0,,104800.0,367500.0,131100.0,62400.0,138200.0,432000.0,28000.0,28600.0,305200.0,98900.0,27600.0,339400.0,298100.0,317900.0
2017,Alberta,Males,3,104300.0,24000.0,144200.0,176800.0,,,,18100.0,79600.0,98500.0,66100.0,,73700.0,363100.0,83900.0,118800.0,141300.0,358300.0,37900.0,67800.0,235200.0,105600.0,31400.0,288100.0,244600.0,273200.0
2017,Alberta,Males,4,103300.0,13300.0,64000.0,93900.0,,,,18600.0,16700.0,20800.0,52700.0,,38700.0,222800.0,23600.0,101100.0,138800.0,190200.0,14400.0,51900.0,109000.0,32000.0,13000.0,143100.0,101600.0,164300.0
2017,British Columbia,Females,1,12200.0,31600.0,55600.0,137300.0,86800.0,,,,28900.0,57800.0,,31200.0,177700.0,394500.0,122300.0,,123500.0,500800.0,77100.0,40500.0,373700.0,134000.0,54700.0,319000.0,370100.0,335100.0
2017,British Columbia,Females,2,35200.0,49200.0,96300.0,106200.0,97300.0,,,,32100.0,46600.0,,54600.0,176500.0,404000.0,64400.0,32700.0,138900.0,440400.0,62700.0,48200.0,319900.0,134500.0,41500.0,317200.0,282800.0,353600.0
2017,British Columbia,Females,3,147500.0,47000.0,123100.0,154400.0,,,,17000.0,43500.0,57000.0,29700.0,,160500.0,455700.0,68100.0,106100.0,182500.0,430600.0,79300.0,99400.0,266600.0,114700.0,60200.0,302200.0,323200.0,341600.0
2017,British Columbia,Females,4,211600.0,40100.0,91800.0,133400.0,,,,40600.0,22600.0,29700.0,53700.0,,144300.0,409200.0,14900.0,181900.0,256700.0,358200.0,40400.0,102300.0,202800.0,62400.0,24000.0,278800.0,213400.0,318200.0
2017,British Columbia,Males,1,19000.0,39800.0,72500.0,184900.0,,,,,58800.0,114000.0,,,103600.0,319100.0,187700.0,12600.0,90300.0,505600.0,34500.0,34400.0,374500.0,131700.0,42900.0,388700.0,393400.0,327700.0
2017,British Columbia,Males,2,31300.0,21400.0,112700.0,191900.0,,,,,61700.0,84000.0,13800.0,,114100.0,339600.0,110000.0,42900.0,102800.0,413200.0,46200.0,48100.0,268100.0,115200.0,38900.0,313500.0,308000.0,299300.0
2017,British Columbia,Males,3,122100.0,20600.0,135900.0,187200.0,,,,11600.0,72700.0,107500.0,55900.0,,88800.0,431400.0,101400.0,125800.0,158500.0,410600.0,33000.0,67800.0,256300.0,119800.0,36300.0,338400.0,320600.0,337700.0
2017,British Columbia,Males,4,142900.0,17600.0,90100.0,150000.0,,,,28700.0,27700.0,37700.0,72600.0,,77500.0,368200.0,46100.0,176400.0,205100.0,312800.0,31300.0,90400.0,186400.0,36600.0,31600.0,243100.0,221600.0,264800.0
2017,Manitoba,Females,1,,15500.0,30000.0,25000.0,44200.0,,,,18500.0,26600.0,,11500.0,42100.0,112300.0,28800.0,8300.0,24400.0,135100.0,18900.0,12500.0,103700.0,28300.0,16700.0,92000.0,88200.0,95400.0
2017,Manitoba,Females,2,10500.0,7200.0,29700.0,36800.0,25200.0,,,,15100.0,21600.0,,13300.0,43200.0,108500.0,17400.0,,31300.0,110200.0,13800.0,9100.0,67900.0,32000.0,9400.0,67400.0,61700.0,77000.0
2017,Manitoba,Females,3,41600.0,13700.0,34800.0,38100.0,,,,7100.0,15600.0,19300.0,9400.0,,32600.0,116600.0,11900.0,34400.0,42500.0,114900.0,18500.0,16700.0,66700.0,22000.0,7500.0,90000.0,70400.0,93000.0
2017,Manitoba,Females,4,54500.0,5700.0,20300.0,35500.0,,,,8600.0,8000.0,10800.0,13600.0,,24700.0,94200.0,4100.0,50400.0,57400.0,81800.0,8300.0,25900.0,44600.0,11900.0,6900.0,60000.0,28900.0,74300.0
2017,Manitoba,Males,1,,,38700.0,35100.0,,,,,15200.0,35100.0,,,28200.0,93200.0,40200.0,,17700.0,146000.0,9000.0,10400.0,99300.0,24400.0,7000.0,109500.0,108700.0,101000.0
2017,Manitoba,Males,2,14000.0,8100.0,37400.0,49500.0,,,,,16400.0,28600.0,8100.0,,25100.0,92300.0,42300.0,17100.0,25700.0,107900.0,9000.0,,87800.0,29500.0,,89800.0,68500.0,81200.0
2017,Manitoba,Males,3,29400.0,6300.0,44100.0,50100.0,,,,,15200.0,16300.0,27500.0,,21500.0,113800.0,23300.0,44000.0,35500.0,112200.0,12800.0,19700.0,61600.0,22200.0,,87900.0,62300.0,92800.0
2017,Manitoba,Males,4,34900.0,5800.0,28100.0,35500.0,,,,6300.0,6500.0,6700.0,18400.0,,16400.0,82700.0,6200.0,28800.0,47000.0,70600.0,4500.0,15800.0,42100.0,10000.0,5000.0,53500.0,36700.0,58200.0
2017,New Brunswick,Females,1,,8100.0,19400.0,14800.0,15000.0,,,,4300.0,8000.0,,7500.0,22400.0,63000.0,16000.0,,16700.0,65700.0,8800.0,,49300.0,10500.0,4700.0,47700.0,38800.0,49200.0
2017,New Brunswick,Females,2,9500.0,7600.0,28300.0,24400.0,6000.0,,,,13200.0,17000.0,,,20200.0,68700.0,16500.0,9300.0,22800.0,64300.0,11700.0,13000.0,42000.0,18500.0,5400.0,47000.0,31900.0,57600.0
2017,New Brunswick,Females,3,38700.0,10200.0,45200.0,21200.0,,,,6800.0,10100.0,12300.0,11300.0,,29700.0,85400.0,11100.0,32900.0,44300.0,81900.0,11000.0,16500.0,44000.0,19900.0,4000.0,60400.0,41800.0,65600.0
2017,New Brunswick,Females,4,43600.0,6900.0,22000.0,27100.0,,,,5700.0,6000.0,7400.0,14000.0,,20000.0,75500.0,3200.0,35300.0,44900.0,61700.0,4300.0,19600.0,39000.0,11100.0,2700.0,45400.0,18600.0,57600.0
2017,New Brunswick,Males,1,,,14900.0,20200.0,,,,,11300.0,14800.0,,,7600.0,56800.0,23000.0,,7900.0,62400.0,,11200.0,48700.0,9800.0,8300.0,43600.0,48700.0,48200.0
2017,New Brunswick,Males,2,12000.0,,24600.0,28000.0,,,,,13700.0,14800.0,,,9800.0,63900.0,25000.0,11300.0,14600.0,63800.0,7900.0,,42600.0,17600.0,,44500.0,43100.0,51400.0
2017,New Brunswick,Males,3,31800.0,6100.0,37800.0,30700.0,,,,3500.0,7100.0,10200.0,13100.0,,13400.0,81700.0,25500.0,35500.0,30300.0,73500.0,9500.0,15900.0,35600.0,17000.0,8800.0,52000.0,47000.0,62400.0
2017,New Brunswick,Males,4,25100.0,3900.0,18200.0,23900.0,,,,,5100.0,5800.0,14600.0,,12700.0,65700.0,10000.0,31800.0,39000.0,53500.0,,13300.0,29900.0,4500.0,5600.0,41700.0,21900.0,45500.0
2017,Newfoundland and Labrador,Females,1,,3600.0,13200.0,12100.0,11700.0,,,,7000.0,10500.0,,3100.0,12000.0,44300.0,15100.0,,10700.0,43000.0,8700.0,4100.0,35300.0,11100.0,6200.0,28700.0,28900.0,32100.0
2017,Newfoundland and Labrador,Females,2,8300.0,,20000.0,17800.0,,,,,9800.0,11000.0,,,13000.0,46400.0,15500.0,4200.0,11400.0,47500.0,5900.0,5700.0,36500.0,8300.0,,33200.0,33200.0,36700.0
2017,Newfoundland and Labrador,Females,3,25900.0,6400.0,24100.0,23900.0,,,,5000.0,14800.0,18600.0,6200.0,,10200.0,57900.0,9600.0,19300.0,23000.0,56200.0,7300.0,10800.0,36900.0,12600.0,3800.0,45000.0,31500.0,49100.0
2017,Newfoundland and Labrador,Females,4,33200.0,4800.0,18800.0,20200.0,,,,,3700.0,4300.0,10600.0,,13600.0,50700.0,,28800.0,27800.0,46900.0,4200.0,8800.0,32800.0,3100.0,2800.0,37000.0,11300.0,44600.0
2017,Newfoundland and Labrador,Males,1,,,14000.0,16600.0,,,,,10900.0,14300.0,,,7000.0,39900.0,21300.0,,6300.0,46800.0,,4700.0,32400.0,8500.0,5700.0,36300.0,34100.0,32400.0
2017,Newfoundland and Labrador,Males,2,6700.0,,20800.0,18600.0,,,,,18100.0,22300.0,,,5600.0,40700.0,20800.0,6300.0,8900.0,48400.0,,,34800.0,10300.0,,35400.0,27900.0,35200.0
2017,Newfoundland and Labrador,Males,3,21000.0,,25800.0,22800.0,,,,,19400.0,20100.0,6300.0,,9800.0,54800.0,26100.0,27400.0,17100.0,55700.0,4400.0,7600.0,33400.0,8800.0,,42600.0,34200.0,49700.0
2017,Newfoundland and Labrador,Males,4,17500.0,,15500.0,18600.0,,,,6600.0,4800.0,5500.0,9800.0,,3900.0,42600.0,8000.0,24200.0,20500.0,37800.0,2200.0,8400.0,22800.0,2900.0,,28900.0,17900.0,34800.0
2017,Nova Scotia,Females,1,,9000.0,23000.0,25700.0,28300.0,,,,10400.0,20400.0,,9300.0,27500.0,78200.0,24600.0,,32500.0,89700.0,23000.0,5300.0,70400.0,25500.0,15300.0,51800.0,61300.0,60000.0
2017,Nova Scotia,Females,2,13200.0,10600.0,31200.0,21900.0,9000.0,,,,10100.0,11300.0,4000.0,,27800.0,81800.0,25300.0,8000.0,39900.0,79200.0,15700.0,12500.0,56700.0,22400.0,8400.0,56100.0,52900.0,58700.0
2017,Nova Scotia,Females,3,33000.0,7100.0,34100.0,36200.0,,,,7400.0,19900.0,23600.0,10600.0,,32100.0,100600.0,15900.0,28600.0,57800.0,100600.0,19000.0,14200.0,66600.0,24400.0,8700.0,74200.0,48100.0,78300.0
2017,Nova Scotia,Females,4,63800.0,9500.0,32100.0,35900.0,,,,10300.0,4000.0,6400.0,14000.0,,23500.0,92500.0,4300.0,42100.0,64500.0,85500.0,10200.0,16800.0,48700.0,12700.0,3200.0,67400.0,30900.0,75800.0
2017,Nova Scotia,Males,1,,9300.0,19300.0,29400.0,,,,,19800.0,26500.0,,,14800.0,65400.0,39300.0,,23100.0,90800.0,10000.0,7400.0,70200.0,17900.0,7800.0,68900.0,68900.0,62900.0
2017,Nova Scotia,Males,2,13200.0,,35000.0,27000.0,,,,,11600.0,17100.0,,,24400.0,66000.0,28700.0,12000.0,23500.0,72300.0,8100.0,10900.0,52500.0,19800.0,10000.0,48700.0,49700.0,53100.0
2017,Nova Scotia,Males,3,35600.0,10100.0,44000.0,40600.0,,,,8100.0,23100.0,27500.0,16500.0,,17500.0,94900.0,31000.0,37300.0,49300.0,86200.0,15400.0,25000.0,50300.0,19200.0,11000.0,68000.0,59500.0,71100.0
2017,Nova Scotia,Males,4,39300.0,3600.0,28800.0,29000.0,,,,7100.0,7100.0,9500.0,15300.0,,14900.0,78200.0,11900.0,43000.0,50500.0,64200.0,4000.0,21700.0,36200.0,10400.0,5100.0,51000.0,29200.0,57400.0
2017,Ontario,Females,1,32200.0,154300.0,298200.0,374500.0,316100.0,,,,151000.0,226800.0,22400.0,94600.0,479900.0,1401600.0,373000.0,25100.0,422000.0,1527200.0,181400.0,104300.0,1121600.0,382800.0,187500.0,1011500.0,1040900.0,1045500.0
2017,Ontario,Females,2,151100.0,116600.0,324400.0,394900.0,241200.0,,,22400.0,124800.0,175300.0,69500.0,87100.0,427800.0,1250900.0,234100.0,129000.0,397300.0,1267400.0,159500.0,126400.0,897400.0,384900.0,111300.0,942900.0,833300.0,991900.0
2017,Ontario,Females,3,478900.0,136400.0,394100.0,443800.0,,,,59800.0,197400.0,240600.0,148500.0,,477500.0,1396200.0,202400.0,385000.0,540900.0,1316500.0,174500.0,260000.0,801200.0,376300.0,137800.0,1001800.0,789600.0,1003600.0
2017,Ontario,Females,4,671700.0,106600.0,301400.0,416700.0,,,,89500.0,94400.0,105900.0,191600.0,,360400.0,1178800.0,57000.0,540700.0,719600.0,994200.0,111100.0,245900.0,584700.0,185900.0,62900.0,781100.0,438900.0,878900.0
2017,Ontario,Males,1,27200.0,128500.0,296700.0,581800.0,,,,,204300.0,324100.0,,,305600.0,1251700.0,497700.0,57300.0,271800.0,1480100.0,99900.0,83900.0,1222500.0,338400.0,90000.0,1160100.0,1148400.0,964500.0
2017,Ontario,Males,2,114600.0,82400.0,345700.0,590900.0,,,,10700.0,228400.0,311300.0,68500.0,,273400.0,1130100.0,329700.0,139600.0,292000.0,1231500.0,75300.0,88900.0,828200.0,337500.0,69300.0,925700.0,768000.0,920000.0
2017,Ontario,Males,3,343600.0,97900.0,440900.0,649300.0,,,,50600.0,290100.0,339800.0,192300.0,,287900.0,1322000.0,324900.0,461600.0,496300.0,1259000.0,123700.0,209300.0,752000.0,420500.0,94400.0,982500.0,762600.0,959700.0
2017,Ontario,Males,4,416800.0,59500.0,243300.0,382700.0,,,,90900.0,92600.0,107100.0,240200.0,,195700.0,987000.0,101200.0,477400.0,613100.0,820100.0,68200.0,211600.0,455400.0,96900.0,53200.0,666100.0,434300.0,730800.0
2017,Prince Edward Island,Females,1,,2000.0,2600.0,5400.0,4000.0,,,,,2100.0,,,5400.0,10600.0,3100.0,,4400.0,13000.0,3000.0,,9400.0,3100.0,,7800.0,7800.0,10200.0
2017,Prince Edward Island,Females,2,,,4400.0,4100.0,1800.0,,,,,1700.0,,,6100.0,11400.0,1700.0,,6700.0,13900.0,1900.0,,11500.0,1800.0,,11000.0,9800.0,11800.0
2017,Prince Edward Island,Females,3,5300.0,2700.0,4300.0,5100.0,,,,1700.0,2400.0,3600.0,2100.0,,5000.0,15000.0,,2500.0,7100.0,14600.0,2700.0,3400.0,9800.0,3700.0,,11500.0,8500.0,11100.0
2017,Prince Edward Island,Females,4,7700.0,1300.0,4600.0,4900.0,,,,1500.0,1000.0,1400.0,2500.0,,3700.0,13900.0,,7000.0,9800.0,12400.0,1000.0,2400.0,7400.0,1200.0,700.0,10400.0,4600.0,11000.0
2017,Prince Edward Island,Males,1,,,2400.0,6100.0,,,,,2400.0,2800.0,,,2500.0,11400.0,6000.0,,,13500.0,2100.0,,9700.0,2100.0,,10100.0,11100.0,9600.0
2017,Prince Edward Island,Males,2,,,4800.0,4900.0,,,,,2800.0,3600.0,,,3100.0,10900.0,2900.0,2300.0,3200.0,12700.0,,,9500.0,2300.0,,9600.0,8600.0,10800.0
2017,Prince Edward Island,Males,3,5500.0,,5400.0,7300.0,,,,900.0,3900.0,4200.0,1800.0,,2400.0,13300.0,2800.0,4800.0,4200.0,14300.0,,2900.0,9000.0,4400.0,,9700.0,7600.0,12100.0
2017,Prince Edward Island,Males,4,4700.0,,4800.0,5000.0,,,,2100.0,1700.0,1700.0,3000.0,,1200.0,11600.0,2000.0,5600.0,7600.0,10800.0,,2800.0,6400.0,,,9500.0,5800.0,10100.0
2017,Quebec,Females,1,26200.0,66600.0,150900.0,182800.0,207100.0,,,,94600.0,167000.0,10500.0,42000.0,314900.0,638000.0,245600.0,14800.0,112000.0,829300.0,53500.0,38300.0,618000.0,284900.0,51000.0,604400.0,502900.0,506800.0
2017,Quebec,Females,2,71700.0,66500.0,203200.0,204700.0,129700.0,,,11500.0,104600.0,139400.0,12400.0,42500.0,361900.0,648800.0,192100.0,59100.0,121500.0,748600.0,73700.0,57600.0,541200.0,322900.0,60800.0,553200.0,442400.0,473200.0
2017,Quebec,Females,3,277900.0,100000.0,241100.0,317700.0,,,,50400.0,136500.0,182500.0,65600.0,,355300.0,782800.0,166900.0,207800.0,228300.0,827300.0,79200.0,114200.0,522700.0,236800.0,44000.0,635300.0,453300.0,506600.0
2017,Quebec,Females,4,424700.0,78200.0,201200.0,271300.0,,,,69900.0,66600.0,86500.0,111400.0,,323700.0,734100.0,54100.0,339000.0,388600.0,699400.0,53600.0,134900.0,378100.0,77000.0,22400.0,566100.0,261000.0,484700.0
2017,Quebec,Males,1,19300.0,60400.0,175000.0,288500.0,,,,,127500.0,230500.0,,,240900.0,474100.0,370900.0,11400.0,71100.0,837500.0,42000.0,47400.0,630000.0,223600.0,49600.0,658500.0,629100.0,484300.0
2017,Quebec,Males,2,63100.0,64100.0,251700.0,363200.0,,,,6400.0,138600.0,203900.0,23000.0,,215100.0,542000.0,243300.0,74900.0,123100.0,773000.0,53600.0,48900.0,541000.0,242600.0,47800.0,615700.0,500100.0,484100.0
2017,Quebec,Males,3,153500.0,49200.0,309200.0,369100.0,,,,30900.0,160700.0,191400.0,90100.0,,202200.0,743200.0,227500.0,227300.0,190200.0,827300.0,45100.0,90300.0,511400.0,263700.0,36900.0,677400.0,508100.0,533300.0
2017,Quebec,Males,4,226500.0,54700.0,175000.0,282300.0,,,,58600.0,66000.0,78100.0,150500.0,,176700.0,627200.0,85100.0,254100.0,357900.0,577700.0,28500.0,125400.0,326800.0,53000.0,24900.0,499600.0,303000.0,421700.0
2017,Saskatchewan,Females,1,,9200.0,32800.0,28600.0,41500.0,,,,18000.0,25100.0,,9500.0,38600.0,105300.0,34200.0,,39000.0,118400.0,20300.0,6300.0,81400.0,21800.0,12900.0,83100.0,77000.0,90900.0
2017,Saskatchewan,Females,2,15300.0,3400.0,32700.0,28300.0,13900.0,,,,14000.0,18900.0,,4700.0,34000.0,82200.0,22600.0,,31700.0,92800.0,9400.0,10100.0,67900.0,23000.0,9600.0,71100.0,70000.0,70500.0
2017,Saskatchewan,Females,3,31900.0,7000.0,39500.0,32000.0,,,,5200.0,17800.0,20500.0,12600.0,,36700.0,96700.0,10500.0,28200.0,43400.0,93300.0,12500.0,18300.0,53400.0,26600.0,9300.0,69000.0,52600.0,76000.0
2017,Saskatchewan,Females,4,51200.0,5500.0,23100.0,29400.0,,,,8900.0,6600.0,7900.0,10100.0,,23900.0,78000.0,,40300.0,53700.0,74300.0,6800.0,18400.0,32900.0,5800.0,5100.0,50500.0,25000.0,63800.0
2017,Saskatchewan,Males,1,,7000.0,35500.0,52400.0,,,,,25700.0,39900.0,,,21200.0,84300.0,52800.0,,25200.0,119300.0,8300.0,12700.0,103100.0,24500.0,8500.0,98300.0,100900.0,89800.0
2017,Saskatchewan,Males,2,18100.0,5700.0,43000.0,44500.0,,,,,18900.0,25900.0,,,21600.0,71900.0,33700.0,13800.0,22900.0,95600.0,7300.0,8000.0,56700.0,26900.0,8700.0,64700.0,68500.0,72000.0
2017,Saskatchewan,Males,3,34600.0,7200.0,45500.0,46900.0,,,,5700.0,21300.0,29200.0,16300.0,,22600.0,92600.0,30000.0,31500.0,32100.0,97900.0,,17500.0,53400.0,25500.0,6800.0,68000.0,63100.0,73400.0
2017,Saskatchewan,Males,4,35100.0,4700.0,25200.0,32700.0,,,,8100.0,10600.0,11500.0,16500.0,,12600.0,66500.0,7900.0,36200.0,40500.0,62200.0,,16100.0,31900.0,8100.0,5900.0,45100.0,30800.0,60100.0
2018,Alberta,Females,1,15400.0,55800.0,83700.0,128200.0,125600.0,,,,47800.0,77800.0,,36000.0,,427400.0,125000.0,10000.0,155000.0,484700.0,83500.0,42000.0,376700.0,96400.0,53500.0,316200.0,328700.0,338800.0
2018,Alberta,Females,2,44800.0,47200.0,138100.0,121200.0,85500.0,,,,50800.0,60400.0,16600.0,32300.0,,410500.0,72300.0,27900.0,161700.0,411900.0,58700.0,45200.0,290800.0,133800.0,42500.0,308600.0,252100.0,309600.0
2018,Alberta,Females,3,126200.0,33200.0,112400.0,116600.0,,,,11100.0,49100.0,59200.0,43100.0,,,372500.0,42200.0,94700.0,170900.0,354800.0,60200.0,54400.0,212500.0,87700.0,27200.0,269200.0,196100.0,266200.0
2018,Alberta,Females,4,151700.0,29200.0,73300.0,88400.0,,,,22000.0,15600.0,18600.0,31800.0,,,267200.0,7900.0,127500.0,164200.0,242900.0,22500.0,48900.0,145500.0,33800.0,12500.0,191100.0,96300.0,195100.0
2018,Alberta,Males,1,6600.0,74100.0,106300.0,197500.0,,,,,79200.0,130400.0,,,,317700.0,169900.0,,111200.0,510300.0,43100.0,31500.0,379900.0,96400.0,51100.0,366500.0,372100.0,322200.0
2018,Alberta,Males,2,48100.0,42700.0,176100.0,196200.0,,,,,81200.0,111400.0,17500.0,,,396400.0,137200.0,60800.0,148500.0,435100.0,33700.0,38100.0,290600.0,125200.0,32300.0,333400.0,300300.0,306300.0
2018,Alberta,Males,3,99800.0,29300.0,140800.0,167000.0,,,,21700.0,76500.0,94000.0,53500.0,,,360500.0,98200.0,113000.0,155100.0,367300.0,23500.0,60000.0,242600.0,89300.0,24200.0,286500.0,248000.0,300800.0
2018,Alberta,Males,4,118800.0,14200.0,77800.0,86900.0,,,,27000.0,18400.0,24100.0,58300.0,,,231000.0,29800.0,106300.0,129100.0,198900.0,14000.0,54400.0,113200.0,26000.0,8500.0,158400.0,108800.0,163300.0
2018,British Columbia,Females,1,11200.0,52300.0,85900.0,88400.0,86800.0,,,,29900.0,66200.0,,36100.0,,380000.0,144000.0,,120000.0,486900.0,64800.0,39300.0,347600.0,138500.0,70700.0,297000.0,364900.0,324000.0
2018,British Columbia,Females,2,39200.0,34600.0,121800.0,121300.0,72600.0,,,4600.0,34200.0,50800.0,15900.0,39300.0,,401700.0,82700.0,19700.0,134400.0,433900.0,57000.0,41900.0,289200.0,119500.0,43100.0,283800.0,317300.0,335100.0
2018,British Columbia,Females,3,153800.0,58300.0,108100.0,153300.0,,,,18200.0,45100.0,63800.0,34500.0,,,455700.0,77500.0,92900.0,203500.0,435500.0,63500.0,79000.0,278600.0,119600.0,55300.0,319800.0,304500.0,360600.0
2018,British Columbia,Females,4,212100.0,33100.0,83000.0,139200.0,,,,29000.0,24400.0,33400.0,50300.0,,,427000.0,18700.0,178900.0,265000.0,372700.0,39100.0,94100.0,219100.0,53600.0,24500.0,288100.0,218900.0,321500.0
2018,British Columbia,Males,1,,29000.0,90700.0,184800.0,,,,,45900.0,104700.0,,,,356900.0,200500.0,9200.0,75300.0,505700.0,33900.0,25400.0,377700.0,112000.0,39000.0,362800.0,409000.0,299200.0
